schema,class,property,in_reference,detected_by_wizard,ref_minCount,ref_maxCount,ref_node,wiz_minCount,wiz_maxCount,wiz_nodeKind,wiz_datatype,expected_nodeKind,nodeKind_match,cardinality_match,datatype_match
Schema 1,FullProfessor,ub:doctoralDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 1,FullProfessor,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 1,FullProfessor,ub:headOf,True,True,,1,DepartmentShape,,1,sh:IRI,,sh:IRI,True,True,True
Schema 1,FullProfessor,ub:mastersDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 1,FullProfessor,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 1,FullProfessor,ub:researchInterest,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 1,FullProfessor,ub:teacherOf,False,True,,,,,,,,,,,
Schema 1,FullProfessor,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 1,FullProfessor,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 1,FullProfessor,ub:worksFor,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 1,Department,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 1,Department,ub:subOrganizationOf,True,True,1,1,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 1,University,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,Course,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,Course,ub:type,True,False,,,,,,,,,,,
Schema 2,Department,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,Department,ub:subOrganizationOf,True,True,1,1,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,FullProfessor,ub:doctoralDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,FullProfessor,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,FullProfessor,ub:headOf,True,True,,1,DepartmentShape,,1,sh:IRI,,sh:IRI,True,True,True
Schema 2,FullProfessor,ub:mastersDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,FullProfessor,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,FullProfessor,ub:researchInterest,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,FullProfessor,ub:teacherOf,True,True,1,2,Course,,,sh:IRI,,sh:IRI,True,False,True
Schema 2,FullProfessor,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
